fighter_name,classification
Anthony Christodoulou,striker
Ryo Chonan,striker
Dan Christison,submission specialist
Katlyn Chookagian,striker
Murad Chunkaiev,grappler
Mike Ciesnolevicz,submission specialist
Steven Ciaccio,striker
Nikolajus Cilkinas,striker
Cameron Church,submission specialist
Branko Cikatic,striker
Hannah Cifers,striker
Misha Cirkunov,submission specialist
Johnny Cisneros,striker
Dominic Clark,striker
Logan Clark,submission specialist
Mychal Clark,striker
Laverne Clark,striker
Devin Clark,striker
Jessica-Rose Clark,striker
Heather Clark,striker
John Clarke,striker
Rich Clementi,submission specialist
Chris Clements,striker
Mitch Clarke,striker
RJ Clifford,striker
Brian Cobb,grappler
Josh Clopton,grappler
Darryl Cobb,striker
Dave Cochran,striker
Dakota Cochrane,grappler
Marc Cofer,striker
Marloes Coenen,submission specialist
John Cofer,striker
Felipe Colares,submission specialist
Chris Coggins,striker
Wayne Cole,submission specialist
Devin Cole,striker
Ivan Cole,striker
Coltin Cole,striker
Cortez Coleman,striker
Mark Coleman,grappler
Clay Collard,striker
Jamie Colleen,submission specialist
Jake Collier,striker
Christian Colombo,striker
Wes Combs,striker
Carlos Condit,submission specialist
Montserrat Conejo,submission specialist
Chris Condo,striker
Tristan Connelly,submission specialist
Jeremiah Constant,submission specialist
Marcos Conrado Jr.,grappler
Jonathan Contrestano,striker
TJ Cook,striker
Mike Cook,submission specialist
Dewey Cooper,striker
Bob Cook,striker
Brett Cooper,striker
Chad Cook,striker
Bill Cooper,striker
Bobby Cooper,submission specialist
Michael Cora,striker
Amanda Cooper,submission specialist
Kit Cope,submission specialist
Josh Copeland,striker
Akira Corassani,striker
Chris Cope,striker
Muhsin Corbbrey,striker
Daniel Cormier,striker
Clint Coronel,striker
Wesley Correira,striker
Henry Corrales,striker
Bethe Correia,striker
Chad Corvin,striker
Louis Cosce,striker
Tracy Cortez,striker
Orion Cosce,striker
Guilherme Costa,striker
Jadson Costa,striker
Miguel Cosio,striker
Randy Costa,striker
Paulo Costa,striker
Oscar Cota,submission specialist
Patrick Cote,striker
JC Cottrell,striker
Rashad Coulter,striker
JR Coughran,striker
Dave Courchaine,striker
Kim Couture,striker
Ryan Couture,submission specialist
Nikk Covert,striker
Colby Covington,grappler
Jeff Cox,grappler
Nathan Coy,striker
Andrew Craig,striker
Paul Craig,submission specialist
Dan Cramer,striker
Alberto Crane,submission specialist
Alexander Crispim,striker
Paul Creighton,grappler
Tim Credeur,submission specialist
Alex Crispin,striker
Randy Couture,striker
Kevin Croom,submission specialist
Ken Cross,striker
Jeff Crotty,submission specialist
Richard Crunkilton,submission specialist
Marcio Cruz,submission specialist
Jimmy Crute,submission specialist
Dominick Cruz,striker
Aalon Cruz,striker
Jay Cucciniello,striker
Chris Culley,striker
Abel Cullum,submission specialist
Everett Cummings,submission specialist
Luke Cummo,submission specialist
Alton Cunningham,striker
Allen Crowder,submission specialist
Josh Culibao,striker
Patrick Cummins,grappler
Larry Cureton,striker
Kailin Curran,striker
Jeff Curran,submission specialist
Chris Curtis,striker
Pat Curran,striker
Daron Cruickshank,striker
Ion Cutelaba,striker
Marcos da Matta,striker
Gleidson Cutis,striker
Henrique da Silva,striker
Sarah D'alelio,striker
Alex Da Silva,grappler
Zak Cummings,striker
Henrique Da Silva Lopes,striker
Nicolas Dalby,striker
Paul Daley,striker
Dave Dalgliesh,striker
Richard Dalton,striker
Marko Damiani,striker
Aisling Daly,striker
Carina Damm,striker
Rodrigo Damm,striker
Cindy Dandois,grappler
Marques Daniels,striker
Jarjis Danho,striker
Alexandre Dantas,submission specialist
Raymond Daniels,submission specialist
Mac Danzig,striker
Eduardo Dantas,grappler
Karen Darabedyan,striker
Beneil Dariush,submission specialist
Sean Daugherty,striker
Kyle Daukaus,submission specialist
Chris Daukaus,striker
Brian Davidson,striker
Rick Davis,striker
Marcus Davis,submission specialist
LC Davis,grappler
Phil Davis,grappler
Mike Davis,striker
Lemont Davis,submission specialist
Justin Davis,striker
Alexis Davis,striker
Danny Davis,striker
Hakeem Dawodu,striker
Brandon Davis,striker
Grant Dawson,submission specialist
Jason Day,striker
Martin Day,striker
Angel De Anda,striker
Yorgan De Castro,striker
Geraldo de Freitas,striker
Philip De Fries,grappler
Chris de la Rocha,submission specialist
Montana De La Rosa,submission specialist
Mark De La Rosa,striker
Rodrigo de Lima,submission specialist
Mike de la Torre,striker
Edilberto de Oliveira,striker
Maria De Oliveira Neta,striker
Jorge de Oliveira,striker
Isabela de Padua,submission specialist
Germaine de Randamie,striker
Gloria de Paula,submission specialist
Tom DeBlass,striker
Crezio de Souza,striker
Issac DeJesus,striker
Johil de Oliveira,grappler
Rafael  Del Real,grappler
Humberto DeLeon,striker
Israel Delgado,striker
Rolando Delgado,submission specialist
Ante Delija,striker
Jon Delos Reyes,submission specialist
Roland Delorme,submission specialist
Jason DeLucia,striker
Vanessa Demopoulos,submission specialist
Nick Denis,striker
Justin DeMoney,striker
Chris Dempsey,grappler
Thomas Denny,submission specialist
Robert Densley,striker
Shane del Rosario,submission specialist
Jason Dent,submission specialist
Tony DeSouza,submission specialist
Booker DeRousse,striker
Mackenzie Dern,submission specialist
Cory Devela,striker
Alessio Di Chirico,striker
John Devine,striker
Micol Di Segni,striker
Cyrille Diabate,striker
Edwin DeWees,submission specialist
Tyler Diamond,striker
Thomas Diagne,striker
Eldo Xavier Dias,striker
Rafael Dias,submission specialist
Marc Diakiese,striker
Hacran Dias,grappler
Nick Diaz,submission specialist
Nate Diaz,submission specialist
Adrian Diaz,grappler
Mark Dickman,striker
Michael Diaz,striker
Josh Diekmann,striker
Kyle Dietz,striker
Ryan Diaz,striker
Seth Dikun,striker
TJ Dillashaw,submission specialist
Matt Dixon,grappler
Rodolfo Marques Diniz,submission specialist
Ralph Dillon,striker
Drew Dimanlig,striker
Rico DiSciullo,striker
Helio Dipp,striker
John Dixson,striker
Anthony Do,striker
Russell Doane,grappler
David Dodd,striker
Drew Dober,striker
Shana Dobson,striker
Joe Doerksen,submission specialist
Mike Dolce,striker
John Dodson,striker
Cameron Dollar,striker
OJ Dominguez,striker
John Donaldson,striker
CB Dollaway,submission specialist
Dennis Dombrow,striker
Cody Donovan,submission specialist
Houston Dorr,striker
Roman Dolidze,submission specialist
Geronimo dos Santos,striker
Anderson Dos Santos,striker
Antonio Dos Santos,striker
Oleksandr Doskalchuk,striker
Tiago dos Santos e Silva,striker
Junior Dos Santos,striker
Rafael Dos Anjos,striker
David Douglas,striker
Jordan Dowdy,striker
Damion Douglas,striker
Derek Downey,grappler
John Dowdy,striker
John Doyle,striker
Kyle Driscoll,striker
Edson Drago,striker
Danny Downes,striker
Chris Drumm,striker
Hugo Duarte,striker
Tomasz Drwal,grappler
Robert Drysdale,submission specialist
Dricus Du Plessis,striker
Joe Duarte,submission specialist
