red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts
NEIL MAGNY,KELVIN GASTELUM,21/11/2015,The Haitian Sensation,-,W,L,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Marcos Rosales 47 - 48. Cardo Urso 48 - 47. Eric Colon 47 - 48.,Welterweight Bout,fight,UFC Fight Night: Magny vs Gastelum,"Monterrey, Nuevo Leon, Mexico",0,2,54,54,37,40,81,86,6,2,42,66,0,0,0,1,5:34,7:15,41,34,10,6,3,14,39,43,11,4,4,7,75,62,18,11,5,25,72,79,20,7,7,12,,
RICARDO LAMAS,DIEGO SANCHEZ,21/11/2015,The Bully,Nightmare,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Marcos Rosales 27 - 30. Roy Silbert 27 - 30. Cardo Urso 27 - 30.,Featherweight Bout,-,UFC Fight Night: Magny vs Gastelum,"Monterrey, Nuevo Leon, Mexico",0,0,57,30,52,34,69,36,3,1,50,50,0,0,0,0,4:40,1:25,25,22,5,8,27,0,43,17,13,11,1,2,43,73,8,26,47,0,75,56,22,36,1,6,,
JUSSIER FORMIGA,HENRY CEJUDO,21/11/2015,-,Triple C,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Derek Cleary 27 - 30. Eric Colon 27 - 30. Roy Silbert 29 - 28.,Flyweight Bout,-,UFC Fight Night: Magny vs Gastelum,"Monterrey, Nuevo Leon, Mexico",0,0,25,43,28,39,39,71,0,2,0,66,0,0,0,0,0:00,1:16,12,11,11,30,2,2,13,14,12,29,0,0,48,25,44,69,8,4,52,32,48,67,0,0,,
ERICK MONTANO,ENRIQUE MARIN,21/11/2015,Perry,Wasabi,W,L,Decision - Split,3,5:00,3 Rnd + OT (5-5-5-5),Gary Copeland,Roy Silbert 28 - 29. Eric Colon 29 - 28. Cardo Urso 28 - 29.,Ultimate Fighter Latin America 2 Welterweight Tournament Title Bout,belt,UFC Fight Night: Magny vs Gastelum,"Monterrey, Nuevo Leon, Mexico",0,0,49,27,42,28,59,33,2,1,66,33,0,0,1,2,2:42,3:28,28,16,6,3,15,8,46,24,2,3,1,0,57,59,12,11,30,29,93,88,4,11,2,0,,
ERIK PEREZ,TAYLOR LAPILUS,21/11/2015,Goyito,Double Impact,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 28 - 29. Eric Colon 28 - 29. Cardo Urso 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Magny vs Gastelum,"Monterrey, Nuevo Leon, Mexico",0,1,31,20,33,25,109,23,1,0,50,0,0,1,0,0,0:00,7:11,17,12,14,4,0,4,17,18,2,2,12,0,54,60,45,20,0,20,54,90,6,10,38,0,,
RONDA ROUSEY,HOLLY HOLM,14/11/2015,Rowdy,The Preacher's Daughter,L,W,KO/TKO,2,0:59,5 Rnd (5-5-5-5-5),Herb Dean,Kick to Head At Distance,UFC Women's Bantamweight Title Bout,belt,UFC 193: Rousey vs Holm,"Melbourne, Victoria, Australia",0,1,17,38,26,71,21,38,0,1,0,100,0,0,0,0,0:04,0:15,13,29,4,4,0,5,13,31,4,4,0,3,76,76,23,10,0,13,76,81,23,10,0,7,,
URIAH HALL,ROBERT WHITTAKER,14/11/2015,Prime Time,The Reaper,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Perceval,Mark Collett 27 - 30. Albert Shen 27 - 30. Barry Foley 28 - 29.,Middleweight Bout,-,UFC 193: Rousey vs Holm,"Melbourne, Victoria, Australia",0,0,45,67,47,46,58,108,0,1,0,50,0,0,1,0,0:50,4:43,17,39,10,6,18,22,40,43,4,12,1,12,37,58,22,8,40,32,88,64,8,17,2,17,,
STEFAN STRUVE,JARED ROSHOLT,14/11/2015,Skyscraper,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Anthony Dimitriou 28 - 29. Evan Field 28 - 29. Charlie Keech 28 - 29.,Heavyweight Bout,-,UFC 193: Rousey vs Holm,"Melbourne, Victoria, Australia",0,0,33,16,56,43,34,38,1,4,100,57,0,0,0,0,0:19,6:43,23,6,7,2,3,8,21,11,1,0,11,5,69,37,21,12,9,50,63,68,3,0,33,31,,
RICHIE VACULIK,DANNY MARTINEZ,14/11/2015,Vas,The Gremlin,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp,Mark Collett 27 - 30. Evan Field 27 - 30. Barry Foley 27 - 30.,Flyweight Bout,-,UFC 193: Rousey vs Holm,"Melbourne, Victoria, Australia",0,0,63,54,40,31,82,90,3,9,100,75,0,0,0,1,0:44,7:48,42,38,6,16,15,0,54,41,4,3,5,10,66,70,9,29,23,0,85,75,6,5,7,18,,
GLOVER TEIXEIRA,PATRICK CUMMINS,07/11/2015,-,Durkin,W,L,KO/TKO,2,1:12,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Light Heavyweight Bout,-,UFC Fight Night: Belfort vs Henderson 3,"Sao Paulo, Sao Paulo, Brazil",0,0,54,33,52,36,59,38,0,4,0,66,0,0,0,0,0:14,1:24,51,23,3,7,0,3,50,22,4,11,0,0,94,69,5,21,0,9,92,66,7,33,0,0,,
