red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts
GILLIAN ROBERTSON,TAILA SANTOS,19/12/2020,The Savage,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee 26 - 30. Derek Cleary 26 - 30. Dave Hagen 28 - 29.,Women's Flyweight Bout,-,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",0,0,9,27,64,72,42,72,0,1,0,100,1,1,0,0,1:01,12:47,7,21,1,3,1,3,4,4,0,1,5,22,77,77,11,11,11,11,44,14,0,3,55,81,26 26 28,30 30 29
TAFON NCHUKWI,JAMIE PICKETT,19/12/2020,Da Don,The Night Wolf,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 25 - 30. Mike Bell 26 - 30. Chris Lee 26 - 30.,Middleweight Bout,-,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",1,0,120,40,64,49,159,40,0,1,0,25,0,0,0,0,2:51,0:34,70,28,49,8,1,4,59,39,57,1,4,0,58,70,40,20,0,10,49,97,47,2,3,0,30 30 30,26 25 26
JIMMY FLICK,CODY DURDEN,19/12/2020,The Brick,Custom Made,W,L,Submission,1,3:18,3 Rnd (5-5-5),Jerin Valel,Flying Triangle,Flyweight Bout,perf,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",0,0,6,21,42,65,7,30,0,2,0,100,1,0,0,0,0:00,1:21,4,17,0,3,2,1,6,17,0,2,0,2,66,80,0,14,33,4,100,80,0,9,0,9,- - -,- - -
MACKENZIE DERN,VIRNA JANDIROBA,12/12/2020,-,Carcara,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 28 - 29. Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29.,Women's Strawweight Bout,-,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",0,0,82,63,47,47,101,80,0,1,0,100,0,0,0,0,2:34,2:44,57,46,16,15,9,2,62,43,17,18,3,2,69,73,19,23,10,3,75,68,20,28,3,3,29 29 29,28 28 28
CUB SWANSON,DANIEL PINEDA,12/12/2020,-,The Pit,W,L,KO/TKO,2,1:52,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Featherweight Bout,-,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",2,0,46,21,69,46,51,40,1,1,100,50,0,1,0,0,1:34,0:35,35,9,7,3,4,9,37,19,3,2,6,0,76,42,15,14,8,42,80,90,6,9,13,0,10 10 10,9 9 8
RENATO MOICANO,RAFAEL FIZIEV,12/12/2020,-,Ataman,L,W,KO/TKO,1,4:05,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Lightweight Bout,perf,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",0,1,15,21,40,60,15,21,0,0,0,0,0,0,0,0,0:00,0:04,10,7,3,7,2,7,14,20,1,0,0,1,66,33,20,33,13,33,93,95,6,0,0,4,- - -,- - -
GAVIN TUCKER,BILLY QUARANTILLO,12/12/2020,Guv'nor,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Dave Hagen 27 - 30. Chris Lee 27 - 30. Ron McCarthy 27 - 30.,Featherweight Bout,-,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",0,0,106,84,63,47,123,136,7,0,53,0,0,0,0,0,5:14,0:25,68,45,31,33,7,6,71,55,32,29,3,0,64,53,29,39,6,7,66,65,30,34,2,0,30 30 30,27 27 27
TECIA PENNINGTON,SAM HUGHES,12/12/2020,Tiny Tornado,Sampage,W,L,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Jason Herzog,Eye Injury,Women's Strawweight Bout,-,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",0,0,52,20,50,37,52,26,1,0,100,0,0,0,0,0,0:15,0:51,27,9,13,2,12,9,50,19,2,1,0,0,51,45,25,10,23,45,96,95,3,5,0,0,10 10 10,9 9 9
JACK HERMANSSON,MARVIN VETTORI,05/12/2020,The Joker,The Italian Dream,L,W,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 46 - 49. Sal D'amato 46 - 49. Junichiro Kamijo 45 - 49.,Middleweight Bout,fight,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",0,1,122,164,35,49,139,202,2,0,28,0,0,1,0,1,0:28,5:47,86,143,18,18,18,3,118,156,4,0,0,8,70,87,14,10,14,1,96,95,3,0,0,4,46 46 45,49 49 49
ROMAN DOLIDZE,JOHN ALLAN,05/12/2020,-,-,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Lee 29 - 28. Dave Hagen 27 - 30. Mike Bell 28 - 29.,Light Heavyweight Bout,-,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",0,0,51,29,46,33,118,48,3,1,60,100,3,0,0,0,7:16,0:15,31,15,15,5,5,9,47,28,1,1,3,0,60,51,29,17,9,31,92,96,1,3,5,0,29 30 28,28 27 29
LOUIS SMOLKA,JOSE QUINONEZ,05/12/2020,Da Last Samurai,Teco,W,L,KO/TKO,2,2:15,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Back Control,Bantamweight Bout,-,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",0,0,59,43,50,40,64,47,3,2,75,66,0,0,0,0,1:09,0:31,35,13,18,12,6,18,34,37,13,4,12,2,59,30,30,27,10,41,57,86,22,9,20,4,9 10 9,10 9 10
SPIKE CARLYLE,BILL ALGEO,28/11/2020,Alpha Ginger,Senor Perfecto,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30. Sal D'amato 27 - 30. Tony Weeks 27 - 30.,Featherweight Bout,-,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",0,0,23,70,43,73,28,118,4,1,30,33,1,0,1,1,4:18,4:16,14,44,3,18,6,8,19,42,1,14,3,14,60,62,13,25,26,11,82,60,4,20,13,20,27 27 27,30 30 30
ASHLEE EVANS-SMITH,NORMA DUMONT,28/11/2020,Rebel Girl,The Immortal,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 26 - 30. Derek Cleary 26 - 30. Dave Hagen 26 - 30.,Women's Bantamweight Bout,-,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",0,1,42,94,25,58,47,109,0,2,0,50,0,0,0,1,0:10,4:01,12,78,17,8,13,8,37,71,5,9,0,14,28,82,40,8,30,8,88,75,11,9,0,14,26 26 26,30 30 30
JONATHAN PEARCE,KAI KAMAKA,28/11/2020,JSP,The Fighting Hawaiian,W,L,KO/TKO,2,4:28,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Back Control,Featherweight Bout,-,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",0,0,51,47,51,56,113,48,5,1,71,33,1,1,0,1,3:26,0:33,34,20,12,20,5,7,27,44,6,2,18,1,66,42,23,42,9,14,52,93,11,4,35,2,9 9 9,10 10 10
MARTIN DAY,ANDERSON DOS SANTOS,28/11/2020,The Spartan,Berinja,L,W,Submission,1,4:35,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Bottom Guard,Bantamweight Bout,-,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",0,0,9,11,75,55,16,22,1,1,100,16,0,1,0,0,0:15,2:57,3,5,3,2,3,4,9,8,0,0,0,3,33,45,33,18,33,36,100,72,0,0,0,27,- - -,- - -
GINA MAZANY,RACHAEL OSTOVICH,28/11/2020,Danger,-,W,L,KO/TKO,3,4:10,3 Rnd (5-5-5),Mark Smith,Kick to Body At Distance,Women's Flyweight Bout,-,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",1,0,72,41,44,43,106,49,7,0,58,0,1,0,0,1,6:53,0:11,53,25,10,16,9,0,41,34,13,7,18,0,73,60,13,39,12,0,56,82,18,17,25,0,20 20 20,18 18 18
LUKE SANDERS,NATE MANESS,28/11/2020,Cool Hand,Mayhem,L,W,Submission,2,2:29,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,Catch Weight Bout,perf,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",0,1,55,33,49,47,63,38,0,1,0,50,0,1,0,0,0:40,0:30,40,27,7,4,8,2,47,28,8,3,0,2,72,81,12,12,14,6,85,84,14,9,0,6,10 10 10,9 9 9
VALENTINA SHEVCHENKO,JENNIFER MAIA,21/11/2020,Bullet,-,W,L,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato 46 - 49. Mike Bell 46 - 49. Junichiro Kamijo 46 - 49.,UFC Women's Flyweight Title Bout,belt,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",0,0,62,36,52,40,249,94,5,1,83,50,0,0,0,0,9:34,7:51,46,22,13,10,3,4,50,23,10,11,2,2,74,61,20,27,4,11,80,63,16,30,3,5,49 49 49,46 46 46
MIKE PERRY,TIM MEANS,21/11/2020,Platinum,The Dirty Bird,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Dave Hagen 27 - 30. Chris Lee 28 - 29. Mike Bell 28 - 29.,Welterweight Bout,-,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",0,0,64,128,39,66,69,143,1,0,20,0,2,0,0,1,3:08,0:39,44,86,8,26,12,16,62,121,2,6,0,1,68,67,12,20,18,12,96,94,3,4,0,0,28 27 28,29 30 29
KATLYN CERMINARA,CYNTHIA CALVILLO,21/11/2020,Blonde Fighter,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 27 - 30. Sal D'amato 27 - 30. Derek Cleary 27 - 30.,Women's Flyweight Bout,-,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",0,0,69,60,30,30,69,60,0,1,0,25,0,0,0,0,0:02,0:00,45,31,11,17,13,12,68,59,1,1,0,0,65,51,15,28,18,20,98,98,1,1,0,0,30 30 30,27 27 27
JOAQUIN BUCKLEY,JORDAN WRIGHT,21/11/2020,New Mansa,The Beverly Hills Ninja,W,L,KO/TKO,2,0:18,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Middleweight Bout,perf,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",2,0,43,18,53,38,59,36,0,0,0,0,0,0,0,0,1:49,0:02,31,5,12,12,0,1,33,16,3,2,7,0,72,27,27,66,0,5,76,88,6,11,16,0,10 10 10,9 8 9
ANTONINA SHEVCHENKO,ARIANE DA SILVA,21/11/2020,La Pantera,Queen of Violence,W,L,KO/TKO,2,4:33,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Back Control,Women's Flyweight Bout,perf,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",0,0,39,15,68,57,94,25,1,0,33,0,0,0,0,0,7:39,0:28,32,7,4,5,3,3,8,13,5,2,26,0,82,46,10,33,7,20,20,86,12,13,66,0,10 10 10,9 9 9
DANIEL RODRIGUEZ,NICOLAS DALBY,21/11/2020,D-Rod,Danish Dynamite,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30. Anthony Maness 28 - 29. Derek Cleary 28 - 29.,Welterweight Bout,-,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",0,0,83,50,41,34,105,58,0,0,0,0,0,0,0,0,0:41,1:28,44,24,19,7,20,19,81,50,2,0,0,0,53,48,22,14,24,38,97,100,2,0,0,0,27 28 28,30 29 29
ALAN JOUBAN,JARED GOODEN,21/11/2020,Brahma,NiteTrain,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Dave Hagen 27 - 30. Eric Colon 27 - 30. Mike Bell 27 - 30.,Welterweight Bout,-,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",0,0,168,100,50,47,169,101,0,1,0,100,2,0,1,0,0:10,1:06,116,79,39,21,13,0,150,90,18,10,0,0,69,79,23,21,7,0,89,90,10,10,0,0,30 30 30,27 27 27
KYLE DAUKAUS,DUSTIN STOLTZFUS,21/11/2020,-,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30. Junichiro Kamijo 27 - 30. Mike Bell 26 - 30.,Middleweight Bout,-,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",0,0,64,32,52,50,113,95,2,0,28,0,1,0,0,1,8:40,2:01,56,14,7,8,1,10,38,18,14,13,12,1,87,43,10,25,1,31,59,56,21,40,18,3,30 30 30,27 27 26
LOUIS COSCE,SASHA PALATNIKOV,21/11/2020,-,-,L,W,KO/TKO,3,2:47,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,Welterweight Bout,fight,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",1,0,99,125,48,52,115,160,1,1,11,100,0,0,0,0,0:53,3:16,76,100,12,24,11,1,58,82,16,25,25,18,76,80,12,19,11,0,58,65,16,20,25,14,18 18 19,20 20 19
PAUL FELDER,RAFAEL DOS ANJOS,14/11/2020,The Irish Dragon,-,L,W,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 48 - 47. Sal D'amato 45 - 50. Derek Cleary 45 - 50.,Lightweight Bout,fight,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA",0,0,98,92,51,56,134,155,1,6,50,27,0,0,0,0,1:40,14:15,64,53,20,35,14,4,76,61,21,26,1,5,65,57,20,38,14,4,77,66,21,28,1,5,48 45 45,47 50 50
KAY HANSEN,CORY MCKENNA,14/11/2020,-,Poppins,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Lee 28 - 29. Sal D'amato 28 - 29. Derek Cleary 28 - 29.,Women's Strawweight Bout,-,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA",0,0,67,57,60,41,87,156,2,0,40,0,2,0,0,1,5:22,3:05,47,56,15,0,5,1,54,49,11,5,2,3,70,98,22,0,7,1,80,85,16,8,2,5,28 28 28,29 29 29
GERALDO DE FREITAS,TONY GRAVELY,14/11/2020,Spartan,-,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Dave Hagen 27 - 30. Sal D'amato 29 - 28. Mike Bell 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA",0,0,76,49,59,48,108,86,1,7,25,41,0,0,0,0,0:02,9:55,61,37,12,4,3,8,69,27,4,5,3,17,80,75,15,8,3,16,90,55,5,10,3,34,27 29 28,30 28 29
ALEX MORONO,RHYS MCKEE,14/11/2020,The Great White,Skeletor,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Rick Winter 27 - 30. Junichiro Kamijo 27 - 30. Mike Bell 27 - 30.,Welterweight Bout,-,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA",0,0,176,124,54,53,208,133,3,0,100,0,0,0,0,0,2:34,0:12,146,81,21,36,9,7,145,117,22,6,9,1,82,65,11,29,5,5,82,94,12,4,5,0,30 30 30,27 27 27
DON'TALE MAYES,ROQUE MARTINEZ,14/11/2020,Lord Kong,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Rick Winter 27 - 30. Dave Hagen 27 - 30. Junichiro Kamijo 28 - 29.,Heavyweight Bout,-,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA",0,0,59,58,43,52,80,96,1,1,50,50,0,0,0,0,2:27,2:52,34,30,20,16,5,12,54,54,5,4,0,0,57,51,33,27,8,20,91,93,8,6,0,0,30 29 30,27 28 27
RAONI BARCELOS,KHALID TAHA,07/11/2020,-,The Warrior,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Dave Hagen 27 - 30. Chris Lee 27 - 30. Ron McCarthy 27 - 30.,Bantamweight Bout,fight,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA",0,0,120,49,57,24,129,68,2,0,50,0,1,0,0,1,3:15,1:27,85,40,17,5,18,4,108,49,7,0,5,0,70,81,14,10,15,8,90,100,5,0,4,0,30 30 30,27 27 27
GIGA CHIKADZE,JAMEY SIMMONS,07/11/2020,Ninja,The Afro Samurai,W,L,KO/TKO,1,3:51,3 Rnd (5-5-5),Herb Dean,Kick to Head At Distance,Featherweight Bout,perf,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA",1,0,8,2,50,50,8,4,0,0,0,0,0,0,0,0,0:09,0:44,6,2,2,0,0,0,4,1,0,1,4,0,75,100,25,0,0,0,50,50,0,50,50,0,- - -,- - -
TREVIN GILES,BEVON LEWIS,07/11/2020,-,-,W,L,KO/TKO,3,1:26,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,Middleweight Bout,-,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA",2,0,38,26,64,34,51,60,1,0,50,0,0,0,0,0,2:33,1:35,34,15,2,6,2,5,34,21,3,5,1,0,89,57,5,23,5,19,89,80,7,19,2,0,20 20 20,18 18 18
KING GREEN,THIAGO MOISES,31/10/2020,-,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Dave Hagen 28 - 29. Sal D'amato 28 - 29. Derek Cleary 28 - 29.,Lightweight Bout,-,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA",0,0,85,42,48,35,94,43,2,2,66,66,0,1,1,0,1:11,1:51,29,29,31,5,25,8,82,42,3,0,0,0,34,69,36,11,29,19,96,100,3,0,0,0,28 28 28,29 29 29
MILES JOHNS,KEVIN NATIVIDAD,31/10/2020,Chapo,Quicksand,W,L,KO/TKO,3,2:51,3 Rnd (5-5-5),Chris Tognoni,Punch to Head In Clinch,Bantamweight Bout,perf,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA",1,0,48,33,45,24,56,38,0,0,0,0,0,0,0,0,3:03,0:00,39,23,3,8,6,2,46,31,2,2,0,0,81,69,6,24,12,6,95,93,4,6,0,0,20 20 20,18 18 18
LAUREN MURPHY,LILIYA SHAKIROVA,24/10/2020,Lucky,-,W,L,Submission,2,3:31,3 Rnd (5-5-5),Lukasz Bosacki,Rear Naked Choke,Women's Flyweight Bout,-,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,22,23,25,30,32,27,1,0,100,0,1,0,0,0,1:10,0:29,16,7,6,7,0,9,12,23,8,0,2,0,72,30,27,30,0,39,54,100,36,0,9,0,10 10 10,9 9 9
NATHANIEL WOOD,CASEY KENNEY,24/10/2020,The Prospect,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Anders Ohlsson,Ben Cartlidge 28 - 29. Derek Cleary 28 - 29. David Lethaby 27 - 30.,Catch Weight Bout,fight,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,136,123,42,49,138,125,0,2,0,33,0,0,0,0,0:00,1:30,70,74,9,25,57,24,134,118,2,4,0,1,51,60,6,20,41,19,98,95,1,3,0,0,28 28 27,29 29 30
ALEX OLIVEIRA,SHAVKAT RAKHMONOV,24/10/2020,Cowboy,Nomad,L,W,Submission,1,4:40,3 Rnd (5-5-5),Lukasz Bosacki,Guillotine Choke After Drop to Guard,Welterweight Bout,-,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,9,13,50,52,16,32,0,0,0,0,0,1,0,0,2:04,0:44,3,6,3,4,3,3,4,10,5,3,0,0,33,46,33,30,33,23,44,76,55,23,0,0,- - -,- - -
CLAUDIO SILVA,JAMES KRAUSE,18/10/2020,Hannibal,The,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 27 - 30. Darryl Ransom 27 - 30. Clemens Werner 27 - 30.,Welterweight Bout,-,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,64,94,29,59,66,96,2,0,16,0,0,0,0,0,0:58,0:14,30,73,11,18,23,3,64,94,0,0,0,0,46,77,17,19,35,3,100,100,0,0,0,0,27 27 27,30 30 30
MATEUSZ GAMROT,GURAM KUTATELADZE,18/10/2020,Gamer,Georgian Viking,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Darryl Ransom 28 - 29. David Lethaby 29 - 28. Victor Wolf 28 - 29.,Lightweight Bout,fight,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,1,52,37,41,43,69,43,5,0,31,0,0,0,0,0,3:29,0:01,42,12,6,12,4,13,37,35,4,0,11,2,80,32,11,32,7,35,71,94,7,0,21,5,29 28 28,28 29 29
JAMIE MULLARKEY,FARES ZIAM,18/10/2020,-,Smile Killer,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 28 - 29. Darryl Ransom 28 - 29. Clemens Werner 28 - 29.,Lightweight Bout,-,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,20,47,27,52,29,54,5,1,45,20,0,0,0,2,6:56,1:12,7,34,2,4,11,9,18,35,2,6,0,6,35,72,10,8,55,19,90,74,10,12,0,12,28 28 28,29 29 29
GADZHIMURAD ANTIGULOV,MAXIM GRISHIN,18/10/2020,-,Maximus,L,W,KO/TKO,2,4:58,3 Rnd (5-5-5),Anders Ohlsson,Punches to Head At Distance,Light Heavyweight Bout,-,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,12,34,52,44,31,66,1,1,20,100,0,0,0,0,2:39,2:21,5,20,4,6,3,8,8,22,3,3,1,9,41,58,33,17,25,23,66,64,25,8,8,26,9 9 9,10 10 10
YOUSSEF ZALAL,ILIA TOPURIA,11/10/2020,The Moroccan Devil,El Matador,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Mike Bell 28 - 29. Anders Ohlsson 28 - 29. Vito Paolillo 28 - 29.,Featherweight Bout,-,UFC Fight Night: Moraes vs. Sandhagen,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,17,13,32,39,40,30,0,5,0,55,1,5,3,0,2:51,8:02,10,7,4,6,3,0,15,12,2,1,0,0,58,53,23,46,17,0,88,92,11,7,0,0,28 28 28,29 29 29
TRACY CORTEZ,STEPHANIE EGGER,11/10/2020,-,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Vito Paolillo 27 - 30. Darryl Ransom 27 - 30. Clemens Werner 27 - 30.,Women's Bantamweight Bout,-,UFC Fight Night: Moraes vs. Sandhagen,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,20,10,47,31,66,27,3,1,60,16,0,0,0,1,9:58,2:07,11,6,3,0,6,4,9,8,0,2,11,0,55,60,15,0,30,40,45,80,0,20,55,0,30 30 30,27 27 27
BRUNO SILVA,TAGIR ULANBEKOV,11/10/2020,Bulldog,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Anders Ohlsson 27 - 30. Mike Bell 28 - 29. Victor Wolf 28 - 29.,Flyweight Bout,-,UFC Fight Night: Moraes vs. Sandhagen,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,47,46,41,37,59,69,4,5,50,45,0,0,0,0,2:21,3:47,20,38,10,3,17,5,40,45,7,1,0,0,42,82,21,6,36,10,85,97,14,2,0,0,28 27 28,29 30 29
JORDAN WILLIAMS,NASSOURDINE IMAVOV,04/10/2020,Bomaye,The Sniper,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Ahmed Korchi 27 - 29. Dave Tirelli 27 - 29. Anders Ohlsson 28 - 29.,Middleweight Bout,-,UFC Fight Night: Holm vs. Aldana,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,30,68,30,61,62,81,0,1,0,12,0,4,0,0,2:24,4:51,25,50,4,13,1,5,23,48,7,12,0,8,83,73,13,19,3,7,76,70,23,17,0,11,27 28 27,29 29 29
LOMA LOOKBOONMEE,JINH YU FREY,04/10/2020,-,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell 27 - 30. Lukasz Bosacki 27 - 30. Clemens Werner 28 - 29.,Women's Strawweight Bout,-,UFC Fight Night: Holm vs. Aldana,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,80,26,58,42,85,39,0,1,0,25,0,0,0,0,1:23,2:34,27,21,35,4,18,1,42,13,38,13,0,0,33,80,43,15,22,3,52,50,47,50,0,0,30 30 29,27 27 28
KETLEN VIEIRA,SIJARA EUBANKS,27/09/2020,Fenomeno,SarJ,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29. Anders Ohlsson 28 - 29. Dave Tirelli 28 - 29.,Women's Bantamweight Bout,-,UFC 253: Adesanya vs. Costa,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,68,69,39,46,93,72,2,0,40,0,0,0,0,0,2:27,0:39,65,34,3,22,0,13,66,65,2,2,0,2,95,49,4,31,0,18,97,94,2,2,0,2,29 29 29,28 28 28
BRAD RIDDELL,ALEX DA SILVA,27/09/2020,Quake,Leko,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mike Bell 28 - 29. Ahmed Korchi 28 - 29. Clemens Werner 28 - 29.,Lightweight Bout,-,UFC 253: Adesanya vs. Costa,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,67,54,40,48,86,70,1,3,16,33,0,1,0,1,1:24,5:17,47,35,13,10,7,9,61,49,5,4,1,1,70,64,19,18,10,16,91,90,7,7,1,1,29 29 29,28 28 28
