winner,ref,diff_TD,diff_sub_att,diff_sig_str_leg_pct,diff_sig_str_head_pct,diff_total_str,diff_sig_str_distance_pct,diff_sig_str_body,diff_sig_str_pct,diff_KD,diff_sig_str_distance,diff_sig_str_ground,diff_sig_str_body_pct,diff_sig_str_clinch,diff_sig_str,diff_sig_str_head,diff_TD_pct,diff_sig_str_clinch_pct,diff_sig_str_leg,diff_sig_str_ground_pct
W,Herb Dean,3.0,0.0,-9.0,15.0,34.0,7.0,3.0,24.0,1.0,41.0,0.0,-7.0,-3.0,38.0,35.0,60.0,-7.0,0.0,0.0
L,Dan Miragliotta,2.0,0.0,-1.0,32.0,-27.0,0.0,-15.0,-3.0,0.0,-5.0,0.0,-31.0,0.0,-5.0,11.0,40.0,0.0,-1.0,0.0
W,Dan Miragliotta,-3.0,0.0,-11.0,-8.0,46.0,-2.0,25.0,11.0,0.0,40.0,-5.0,18.0,14.0,49.0,27.0,70.0,12.0,-3.0,-9.0
L,Joe Coca,1.0,0.0,-13.0,15.0,-18.0,-6.0,-8.0,4.0,-1.0,-24.0,-1.0,-3.0,4.0,-21.0,0.0,100.0,7.0,-13.0,-1.0
W,Joel Ojeda,3.0,1.0,10.0,-20.0,45.0,-17.0,4.0,-4.0,0.0,-6.0,6.0,10.0,1.0,1.0,-7.0,-34.0,3.0,4.0,15.0
W,Joel Ojeda,-1.0,1.0,-27.0,-13.0,35.0,-23.0,22.0,12.0,0.0,8.0,13.0,40.0,0.0,21.0,5.0,-50.0,-6.0,-6.0,28.0
L,0,-1.0,-1.0,-9.0,15.0,-23.0,-20.0,-4.0,5.0,0.0,-14.0,14.0,-7.0,-7.0,-7.0,2.0,-33.0,-13.0,-5.0,33.0
L,Chris Tognoni,-1.0,0.0,-16.0,-2.0,-11.0,1.0,7.0,19.0,0.0,-1.0,-8.0,17.0,5.0,-4.0,-3.0,-100.0,14.0,-8.0,-16.0
L,Jason Herzog,-2.0,0.0,12.0,-4.0,20.0,8.0,-6.0,10.0,0.0,1.0,0.0,-8.0,-6.0,-5.0,-6.0,-18.0,-8.0,7.0,0.0
L,Jason Herzog,-1.0,-2.0,3.0,3.0,-81.0,30.0,-8.0,-33.0,0.0,-1.0,-58.0,-7.0,3.0,-56.0,-48.0,67.0,14.0,0.0,-45.0
W,Marc Goddard,2.0,0.0,-25.0,45.0,36.0,-39.0,-3.0,3.0,0.0,-6.0,9.0,-20.0,-2.0,1.0,8.0,-13.0,-14.0,-4.0,51.0
